idx,announcement_id,category_large,agency,title,ext,n_chars,evidence,source_url,label_19class,confidence,exclude_reason,note,batch
51,PBLN_000000000123746,내수,경상남도,[경남] 2026년 소상공인 온라인입점 지원사업 참여 소상공인 모집 공고,hwp,1282,"지원내용 / * 2026년도 본 사업을 통해 기입점한 업체도 지원 가능 /  추진절차 /  공고일('26.6.29.) 기준 경남 도내 사업장을 운영 중이면서, e경남몰 입점 규정에 부합하는 소상공인 또는 여성기업 / - (소상공인) 소상공인기본법 제2조에 따른 소상공인 / - (여성기업) 여성기업법 제2조 및 동법 시행령 제2조에 따른 여성기업 / * 위 요건 충족여부는 소상공인확인서 또는 여성기업확인서로 확인 /  지원제외대상 /  신청방법 : 아래 신청서류를 갖",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123746,판로,높음,,e경남몰 온라인 입점 지원,M28
52,PBLN_000000000118049,인력,중소벤처기업부,2026년 중소벤처기업부 외국전문인력(E-7-1) 고용추천 공고,hwp,1004,"중소벤처기업부 공고 제2026 -51호 / 2026 중소벤처기업부 / 외국전문인력(E-7-1) 고용추천 공고 / 중소벤처기업부는 국내 중소기업과의 계약에 따라 중기부 고용추천 27개 직종에 종사하려는 외국인 유학생이 전문인력 특정활동 비자를 발급받을 수 있도록 지원하는 외국전문인력(E-7-1) 고용추천을 다음과 같이 공고합니다. / 2026년 1월 30일 / 중 소 벤 처 기 업 부 장 관 / 중소벤처기업진흥공단 이사장 / 󰊱 제도목적 / ◦ 국내 중소기업과의 계약에 따라 중기부 고용추천 27개 직종에 종사하려는 외국인 유학생에게 E-7-1 고용추천 지원 / * 단, 비자 심사 및 발급은 법무부의 소관 사항으로, 중소벤처기업부의 고용추천을 받았더라도 외국전문인력 비자(E-7-1)는 발급되지 않을 수 있으며, 비자 발급 기준 세부사항 등은 법무부에서 정하는 바에 따라 달라질 수 있음. / 󰊲 대상요건 * 단, 법무부가 정한 요건에 따라 변경될 수 있음. / - 외국인 유학생 요건 / * 추가된 3개 직종(상품기획전문가(2731), 조사 전문가(2734), 해외 영업원(2742))은 시행시기 미정(추후 공지) / ** 주1), 주2) : 고등교육법 제2조 제1호~제4호에 해당하는 대학의 학위 취득 필수 / - 사업장 주요 요건 / * 법무부 공고(제2025-406호)에 따라 ‘26.2.1.~’26.12.31.까지 임금요건 기준 적용 / 󰊳 추진절차 / 󰊱 신청기간 : 연중 상시모집 / 󰊲 신청방법 : K-Work 플랫폼(k-work.or.kr) 접수 / ◦ K-Work 플랫폼 기업회원 가입 후 접수 / 󰊳 제출서류 / ◦ 신청서는 K-Work 플랫폼에서 작성 및 제출 / * 사업자등록증, 중소기업확인서, 재무제표는 중소벤처기업진흥공단에서 확인하며, 확인이 불가한 경우 별도 제출을 요청할",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118049,,높음,대상밖-비지원,E-7-1 비자 고용추천. 금전 지원이 아니라 행정 추천,M28
53,PBLN_000000000123626,수출,전남광주통합특별시,[전남ㆍ광주] 2026년 중국(난징ㆍ충칭) 시장개척단 파견 참가기업 모집 공고,hwpx,5951,"지원내용: 바이어 발굴, 상담장 임차, 통역, 항공료(50%, 50만원 한도) / ※ 기업부담(약 200만 원) : 항공료 자부담분(지원 한도 외 차액), 숙박·체재비, 샘플 비용 등 / ○ 사 업 비: 60,634천원(도비) / ○ 수행기관: 코트라 광주전남지원본부 / 2. 시장 전망 및 유망품목 / ○ (중국) 우리나라 최대 수출국으로 프리미엄 소비 시장 진출 다각화 및 첨단산업 협력을 견인할 핵심 전략 시장 / ※ 유망품목 : 프리미엄 K-소비재, 첨단 소재․부품․장비",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123626,판로,높음,,시장개척단 파견 - 바이어 발굴·상담장·통역·항공료,M28
54,PBLN_000000000117950,금융,인천광역시,[인천] 중구 2026년 소상공인 (특례)협약보증 지원 사업 공고,hwp,1432,"지원내용 / ○ 융자한도 / - 총 보증금액 1억 원 이내 / ○ 대출금리 및 이차보전 / - 개인신용도에 따라 다름, 區 2.5%(최초 3년간) 이차보전 / ○ 지원기간 / - 1년(최대 5년까지 기한 연장 가능) / ○ 취급은행 / - 관내 하나은행 지점 / 󰊴 지원제외 대상 / ○ 신용도 판단정보 대상자 및 보증사고·대위변제 관련자 / ○ 신용보증기금·기술보증기금·재단중앙회의 보증을 이용 중인 소상공인 / ○ 사치·향락 등 재보증 제한업종, 연체 및 세금 체납 등 재보증 제",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117950,보증,높음,,특례협약보증 + 이차보전. 주된 수단은 보증,M28
55,PBLN_000000000119201,인력,중소벤처기업부,2026년 중소기업 연구인력 현장맞춤형 양성지원 사업 시행계획 공고,hwp,4507,"지원내용) / ◦ (level 1) 중소기업-연구인력 매칭: 연구인력 혁신센터는 중소기업 및 연구인력을 모니터링 하고 중소기업과 연구인력간 매칭 프로그램 운영 / ◦ (level 2) 예비연구자 양성과정: 예비연구자(학사/석사/박사 학위예정자)에 대한 R&D인턴 업무 수행 및 R&D 프로젝트 발굴 필수 / ※ Level2 의 경우 타 지원사업 참여 금지 / ◦ (level 3) 신진연구자 양성과정: 인턴과정(level2)을 수료한 후 기업에 정규직으로 취업 / 지원규모) / ◦ (level 2) 예비연구자 양성과정: 80개사/ 120명 내외 / ◦ (level 3) 신진연구자 양성과정: 40개사/ 40명 내외 / 다. (지원내용) / ◦ (level 1) 중소기업-연구인력 매칭: 연구인력 혁신센터는 중소기업 및 연구인력을 모니터링 하고 중소기업과 연구인력간 매칭 프로그램 운영 / ◦ (level 2) 예비연구자 양성과정: 예비연구자(학사/석사/박사 학위예정자)에 대한 R&D인턴 업무 수행 및 R&D 프로젝트 발굴 / 지원조건) 2025년부터 적용 / 라. 지원대상 / ◦ (지원기업) 중소기업 기본법 제 2조에 따른 중소기업으로, 기업부설연구소 또는 연구개발전담부서를 보유한 중소기업* 80개사 내외 / * 「기업부설연구소등의 연구개발 지원에 관한 법률」 제7조제1항에 따라 기업부설연구소 또는 연구개발전담부서로 인정받은 기업 / ◦ (연구인력) 대한민국 국적 소지자이며 학위취득(예정)자(4학년 2학기 이상) 및 구직자, 전문학사 취득 후 2년 이상의 연구경력* 보유자 / 마",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119201,고용보조,보통,,연구인력 매칭·인턴·정규직 채용 연계. 교육훈련과 경계,M28
56,PBLN_000000000120031,창업,경기도,[경기] 안산시 2026년 청년큐브 1:1 창업멘토링 지원 참여기업 모집 공고(청년창업인큐베이팅사업),hwp,1486,"지원내용 / ※ 기업부담금 없음, 주관기관에서 멘토에게 비용 직접 지급 / 2. 추진절차 / 3. 신청자격 / ㅇ 청년큐브 입주/졸업기업(초지, 예대, 한양, 월피) 및 관내 창업기업, 관내 대학 및 고등학교 예비창업자 등 관내 *39세 이하 청년창업가 / * 공고일 기준 39세 이하인 자(1986.3.19. 이후 출생자) / * 창업일은 개인사업자의 경우 사업개시일(사업자등록증상의 사업자등록일), 법인기업의 경우 법인등기부등본상 법인설립등기일 기준 / * 공동대표 또는 각자 / 지원규모: 20개사(팀) 내외 / 100만원(멘토링 총 4회) / ㅇ 세부지원내용 / ※ 기업부담금 없음, 주관기관에서 멘토에게 비용 직접 지급 / 2. 추진절차 / 3. 신청자격 / ㅇ 청년큐브 입주/졸업기업(초지, 예대, 한양, 월피) 및 관내 창업기업, 관내 대학 및 고등학교 예비창업자 등 관내 *39세 이하 청년창업가 / * 공고일 기준 39세 이하인 자(1986.3.19. 이후 출생자) / * 창업일은 개인사업자의 경우 사업개시일(사업자등록증상의 사업자등록일), 법인",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120031,컨설팅,보통,,청년 창업 1:1 멘토링 4회. 창업보육과 경계이나 수단은 멘토링,M28
57,PBLN_000000000121175,창업,중소벤처기업부,2026년 스타트업 법률지원사업 참여기업 모집 수정 공고,hwpx,5041,"지원내용 / : 「스 / 타트업 원스톱 지원센터」자문단 소속 변호사를 통한 / 온라인 법률상담 서비스 / ( / 지원기업별 최대 300만원(신청건별 최대 100만원)) / < 지원방식 및 지원 내용 > / 상담 분야 / 지원내용 / 세부 자문분야 / 법률(국내) / 기업 경영 전반에 관한 법률 상담 / 계약·거래, 지식재산·브랜드, 개인정보·데이터, 규제·인허가 대응, / 인사·노무, 투자·자금조달, 기업운영·법무, 사업정리·재도전 / 법률(해외) / * / 해외진출국에 대한 / 현지 법령 검토 등 / 미국, 중국, 일 / 지원 내용 > / 상담 분야 / 지원내용 / 세부 자문분야 / 법률(국내) / 기업 경영 전반에 관한 법률 상담 / 계약·거래, 지식재산·브랜드, 개인정보·데이터, 규제·인허가 대응, / 인사·노무, 투자·자금조달, 기업운영·법무, 사업정리·재도전 / 법률(해외) / * / 해외진출국에 대한 / 현지 법령 검토 등 / 미국, 중국, 일본, 베트남, 인도네시아, 말레이시아, 싱가포르, 독일, 프랑스, 영국, 캐나다, 몽골, 호주, 러시아, 홍콩 / * 법률(해외)은 ‘스타트업 원스톱 지원센터 자문단 소속  / 지원규모 / : / 850건 / 내외 법률상담 제공 / (국내 700건, 해외 150건) / □ / 지원내용 / : 「스 / 타트업 원스톱 지원센터」자문단 소속 변호사를 통한 / 온라인 법률상담 서비스 / ( / 지원기업별 최대 300만원(신청건별 최대 100만원)) / < 지원방식 및 지원 내용 > / 상담 분야 / 지원내용 / 세부 자문분야 / 법률(국내) / 기업 경영 전반에 관한 법률 상담 / 계약·거래, 지식재산·브랜드, 개인정보·데이터, 규제·인허가 대응, / 인사·노무, 투자·자금조달, 기업운영·법무, 사 / 지원방식 및 지원 내용 > / 상담 분야",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121175,상담,보통,,변호사 온라인 법률상담. 학습셋 '소상공인 무료법률구조 → 상담' 과 같은 성격,M28
58,PBLN_000000000118674,경영,경기도,[경기] 2026년 규제샌드박스 지원사업 맞춤형 컨설팅 참여기업 모집 공고,hwpx,1590,"지원내용 / - 신속확인(처리)제도 신청서 작성 지도 / - 임시허가‧실증특례 신청서 작성지도 / - 재도전 지원(특례 불승인 컨설팅에 대한 수정·보완 등) / - 신청서 작성을 위한 법률자문, 기술 및 시장조사 등 전문컨설팅 / - 규제샌드박스 신청서 작성 보완을 위한 컨설팅 등 /  지원제외 : / 국세 또는 지방세 체납 기업 등 /  기업부담금 : / 없음 (※ 경기도에서 컨설팅비용 전액 지원) / Ⅱ / 지원절차 및 체계 / ① 컨설팅 신청 / ⇨ / ② 규제 내용 및 기업 확인 / ⇨ / ③",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118674,컨설팅,높음,,규제샌드박스 신청서 작성 전문컨설팅,M28
59,PBLN_000000000125325,수출,기후에너지환경부,UNFCCC COP31 한국홍보관 기술전시 참여 모집 공고,hwp,2354,"지원내용) 기업별 전시 공간 제공 / ※ COP31 한국홍보관 공간 면적에 따라 전시방법 및 참여 규모 변동 가능성 有 / 2. 선정 기준(안) / ㅇ (평가항목 및 배점) 정성평가 4개 항목별 점수를 합산하여, 우선순위 평가(기업별 합산점수의 최고․최저점 제외) / 3. 신청 방법 및 절차 / ㅇ (공고기간) 2026. 8. 10.(월) ~ 2026. 8. 30.(일) 16시까지 / * 한국홍보관 공식홈페이지(https://copkorea.kr/COP/110108/index",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125325,판로,보통,,COP31 한국홍보관 전시공간 제공. 전시회 참가 지원,M28
60,PBLN_000000000124869,경영,전남광주통합특별시,[전남광주] 2026년 지역특화형 스마트공장(식품ㆍ바이오) 구축지원사업(기초) 공고,hwp,3157,"지원규모] 20개사 / [지원대상] 전남 소재 중소·중견기업 중 스마트공장 구축이 필요한 식품, 바이오분야 제조기업 / [지원유형] 기초, 동일수준 / [신청방법] 도입기업·공급기업 컨소시엄 형태로 스마트공장 사업관리시스템(smart -factory.kr) 온라인 접수 / [사업비 구성] / * 사업비 편성시 유의사항 / 1) 기업부담금에 총사업비의 20% 내에서 '도입기업 사업관리 인력 인건비'로 현물 편성 가능 / 2) 사업비 중 H/W 구입비의 합계금액은 최대 5,00 / 사업내용 / - 전남 소재 식품, 바이오 분야 제조기업을 대상으로 지방비 60%(도 30, 시군 30)를 지원하여 스마트공장 기초단계 구축지원 / - 스마트  HACCP 또는 스마트 GMP 관련 솔루션, 설비(IoT 센서, 데이터수집, 모니터링 장비 등) 도입 지원 / ❍ 과제구분 / ❍ '26년 전남 지역특화형 스마트공장(식품, 바이오) 구축지원사업(기초) 공고 / [모집기간] 공고일로부터 ~ ‘26. 8. 21.(금), 17:00까지 / [지원규모] 20개사 / [지원대상",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000124869,설비,높음,,스마트공장 구축 - 솔루션·IoT센서·모니터링 장비 도입,M28
