row_id,사업명,출처,지원성격,지원방식,지원단위,기업당지원한도,기업당액_산출,지원기업수,지원비율,사업기간,기간_근거,수치축_개수,비교군_percentile,극단축_개수,상식범위밖,원문발췌,라벨,라벨근거
PBLN_000000000082196,[전남] 순천시 2023년 순천형 디지털 청년 일자리 사업 참여기업 모집 공고(행정안전부 지역주도형 청년일자,bizinfo,고용보조,grant,company,20.0만원,stated_cap,10.0,,,,2,"기업(과제)당 지원한도 P0(n=47,성격x방식x단위x출처) / 지원 기업/과제 수 P55(n=38,성격x방식x단위x출처)",1,False,[전남] 순천시 2023년 순천형 디지털 청년 일자리 사업 참여기업 모집 공고(행정안전부 지역주도형 청년일자리사업),,
EXCEL2022_0634,2022년 물류효율화(제3자물류 컨설팅 지원),taxonomy,컨설팅,grant,company,2000.0만원,stated_cap,,50.0,,no_duration_evidence,2,"지원비율 P10(n=58,성격x방식x출처) / 기업(과제)당 지원한도 P50(n=80,성격x방식x단위x출처)",1,False,"20백만원, 자부담 50%",,
PBLN_000000000054433,[울산] 2020년 산업부주관 지역 제조업 설계지원사업 참여기업 모집 공고,bizinfo,설비,grant,company,3000.0만원,stated_cap,15.0,,,,2,"기업(과제)당 지원한도 P28(n=78,성격x방식x단위) / 지원 기업/과제 수 P42(n=47,성격x방식x단위)",0,False,[울산] 2020년 산업부주관 지역 제조업 설계지원사업 참여기업 모집 공고,,
PBLN_000000000119636,[세종] 2026년 중소기업육성자금 지원계획 변경 공고,bizinfo,융자,grant,,,,,,,no_duration_evidence,0,비교군 부족,0,False,"  세종특별자치시 중소기업육성기금 운용 조례 제7조 및 같은 조례 시행규칙 제3조에 따른 2026년도 중소기업육성자금 지원계획을 다음과 같이 공고합니다.  ☞ 세종특별자치시에 사업장을 둔 중소기업으로 「별표1」의 ‘업종별 세부지원대상’과 「별표2, 4」의 ‘자금별 지원조건’에 해당하는 기업  ☞ 창업자금, 경쟁력강화자금,",,
PBLN_000000000071682,장애인기업지원자금(2022년 중소벤처기업부 소관 소상공인 정책자금 융자계획 공고),bizinfo,융자,loan,company,2.0억원,stated_cap,1.0,,,,2,"지원 기업/과제 수 P10(n=65,성격x방식x단위x출처) / 기업(과제)당 지원한도 P39(n=94,성격x방식x단위x출처)",1,False,장애인기업지원자금(2022년 중소벤처기업부 소관 소상공인 정책자금 융자계획 공고),,
PBLN_000000000061812,[경북] 경주시 저녹스 버너 설치지원 사업 신청 공고,bizinfo,설비,other,,,,,50.0,,,1,"지원비율 P25(n=99,성격)",0,False,[경북] 경주시 저녹스 버너 설치지원 사업 신청 공고,,
PBLN_000000000073058,2022년 지역SW서비스사업화 통합 공고(지역지원ㆍ제주ㆍ세종),bizinfo,사업화,grant,,2.9억원,budget_div_count,18.0,,,,2,비교군 부족,0,False,2022년 지역SW서비스사업화 통합 공고(지역지원ㆍ제주ㆍ세종),,
EXCEL2022_0319,2022년 대·중소기업 동반진출 지원(해외홈쇼핑),taxonomy,판로,grant,company,2000.0만원,stated_cap,,70.0,,no_duration_evidence,2,"지원비율 P25(n=43,성격x방식x출처) / 기업(과제)당 지원한도 P54(n=68,성격x방식x단위x출처)",0,False,"20백만원 이내, 자부담 30% ⑤ 설명: [참여 홈쇼핑사] 우리홈쇼핑, GS홈쇼핑, 현대홈쇼핑, 공영홈쇼핑",,
EXCEL2023_0466,2023년 광융합제품 시제품 제작 지원사업,taxonomy,사업화,grant,company,800.0만원,stated_cap,12.0,80.0,,no_duration_evidence,3,"기업(과제)당 지원한도 P0(n=316,성격x방식x단위x출처) / 지원 기업/과제 수 P50(n=258,성격x방식x단위x출처) / 지원비율 P50(n=267,성격x방식x출처)",1,False,"12개, 8백만원, 자부담 20%",,
EXCEL2023_0776,"2023년 창업성장기술개발사업(팁스, TIPS)",taxonomy,연구개발,grant,project,5.0억원,stated_cap,600.0,80.0,2.0,hint_only,4,"지원 기업/과제 수 P100(n=43,성격x방식x단위) / 지원비율 P90(n=139,성격x방식x출처) / 기업(과제)당 지원한도 P50(n=41,성격x방식x단위) / 사업기간 P50(n=126,성격x방식x출처)",2,False,"600개 과제, 2년간 500백만원 이내, 자부담 20% ⑤ 설명: 선정된 기업에게는 기술개발자금 이외 100백만원 이내의 사업화·마케팅자금(자부담 30%)을 연계 지원",,
